capa_id,date,type,source,description,root_cause,status
CAPA-2024-0001,2024-11-06,corrective,Complaint,CAPA initiated due to audit finding,Identified: Process deviation,open
CAPA-2024-0002,2024-07-15,preventive,Deviation,CAPA initiated due to complaint finding,Identified: Process deviation,closed
CAPA-2024-0003,2024-05-01,preventive,OOS,CAPA initiated due to complaint finding,Root cause analysis pending,in-progress
CAPA-2024-0004,2024-07-20,preventive,Deviation,CAPA initiated due to complaint finding,Root cause analysis pending,open
CAPA-2024-0005,2024-04-30,preventive,Audit,CAPA initiated due to audit finding,Root cause analysis pending,closed
CAPA-2024-0006,2024-11-19,preventive,OOS,CAPA initiated due to complaint finding,Identified: Process deviation,in-progress
CAPA-2024-0007,2024-02-11,preventive,OOS,CAPA initiated due to oos finding,Root cause analysis pending,open
CAPA-2024-0008,2024-06-19,preventive,Complaint,CAPA initiated due to audit finding,Root cause analysis pending,closed
CAPA-2024-0009,2024-09-16,corrective,Deviation,CAPA initiated due to oos finding,Root cause analysis pending,in-progress
CAPA-2024-0010,2024-10-07,preventive,OOS,CAPA initiated due to complaint finding,Root cause analysis pending,open
CAPA-2024-0011,2024-11-24,corrective,OOS,CAPA initiated due to audit finding,Identified: Process deviation,closed
CAPA-2024-0012,2024-04-12,preventive,Deviation,CAPA initiated due to self-inspection finding,Identified: Process deviation,in-progress
CAPA-2024-0013,2024-03-21,corrective,Self-inspection,CAPA initiated due to audit finding,Root cause analysis pending,open
CAPA-2024-0014,2024-12-17,preventive,Deviation,CAPA initiated due to oos finding,Identified: Process deviation,closed
CAPA-2024-0015,2024-03-09,preventive,Audit,CAPA initiated due to self-inspection finding,Root cause analysis pending,in-progress
